"modelReg","r.squared","adj.r.squared","AIC","BIC","modelPValue","FStats"
"Consumption ~ Price",0.794077736056203,0.786976968334003,122.85176930819,127.153730921645,1.82893949280579e-11,111.829842507535
"Consumption ~ Cylinder",0.885465995283253,0.881516546844744,104.666333091047,108.968294704502,3.51695263676786e-15,224.199912739623
"Consumption ~ Power",0.90749412897081,0.904304271349114,98.0447439336424,102.346705547098,1.57077306629166e-16,284.493615890058
"Consumption ~ Weight",0.74625806606446,0.737508344204614,129.325158442394,133.62712005585,3.8868087176011e-10,85.2893472521853
"Consumption ~ Price + Cylinder",0.896519938913811,0.889128505979083,103.520055804581,109.256004622522,1.61433428308471e-14,121.291763969286
"Consumption ~ Price + Power",0.907494601181368,0.900887072694323,100.044585688933,105.780534506874,3.35999876719515e-15,137.34251815344
"Consumption ~ Price + Weight",0.942913699788088,0.938836106915809,85.0807974386552,90.8167462565957,3.90343147274025e-18,231.242728080646
"Consumption ~ Cylinder + Power",0.915374486668183,0.909329807144481,97.284618140229,103.02056695817,9.66091865518767e-16,151.434742417524
"Consumption ~ Cylinder + Weight",0.904563132057097,0.897746212918319,101.011722194787,106.747671012728,5.20027720225855e-15,132.69383333468
"Consumption ~ Power + Weight",0.944845348481809,0.940905730516224,84.0136820682576,89.7496308861982,2.41073808652763e-18,239.831718896503
"Consumption ~ Price + Cylinder + Power",0.915382586734996,0.905980651927773,99.2816507834661,106.451586805892,1.35606910819782e-14,97.3610863619035
"Consumption ~ Price + Cylinder + Weight",0.94362215402163,0.937357948912922,86.6936730934431,93.8636091158688,5.7233660002138e-17,150.637173854655
"Consumption ~ Price + Power + Weight",0.953233056558092,0.948036729508992,80.8997835436577,88.0697195660834,4.61216355760078e-18,183.443622302995
"Consumption ~ Cylinder + Power + Weight",0.944997238649232,0.938885820721369,85.9281935286939,93.0981295511196,4.10365612221581e-17,154.628148459757
"Consumption ~ Price + Cylinder + Power + Weight",0.954558563320205,0.947567573061775,82.0084645484186,90.6123877753294,4.72369177076258e-17,136.541252102183
